Temp A835 Pmal DDM Cymal5
20	67.9	68.1	67.6	68.8
25	69.5	67.8	67.3	69.1
30	70.1	68.3	67.4	69.7
35	70.1	69	68.8	68.6
40	69.4	70.4	65.9	69.7
45	69	69.4	66.4	70.5
50	68.9	70.1	64.9	69.9
55	66.6	68.7	63.7	68.6
60	59.8	65.4	59.9	59.3
65	51.2	65	52.5	37.2
70	42.1	63.7	43	25.5
75	34.6	60.5	35.4	23.5
80	27.7	52.1	29.6	21.6
